subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,is_churned,account_name,industry,country,signup_date,referral_source,total_usage_events,total_usage_mins,total_errors,distinct_active_days,total_support_tickets,avg_satisfaction_score,avg_resolution_time_hrs,is_high_risk
S-d7d398,A-fb186e,2024-12-28,,Enterprise,29,0,0,True,False,False,False,annual,True,0,Company_131,EdTech,IN,2024-10-27,organic,12.0,617.3333333333334,3.0,12.0,6.0,3.6666666666666665,26.166666666666668,0
S-ddad91,A-40906c,2024-06-21,,Enterprise,92,0,0,True,False,False,False,annual,False,0,Company_235,EdTech,US,2024-03-27,ads,7.0,448.3,0.0,7.0,5.0,3.75,29.2,0
S-6762fa,A-40a557,2024-02-12,,Enterprise,16,3184,38208,False,False,False,False,annual,True,0,Company_86,Cybersecurity,AU,2023-12-03,partner,6.0,309.0833333333333,2.0,6.0,7.0,3.6666666666666665,30.571428571428573,0
S-bb1cf1,A-3a5ad8,2024-09-07,,Enterprise,9,0,0,True,True,False,False,monthly,False,0,Company_94,HealthTech,US,2023-12-05,organic,5.0,146.71666666666667,3.0,5.0,4.0,4.5,44.75,0
S-a805a5,A-2789e3,2024-09-18,,Basic,33,627,7524,False,False,False,False,monthly,True,0,Company_268,FinTech,US,2024-09-14,partner,5.0,250.65,4.0,5.0,4.0,4.0,47.25,0
S-da0a69,A-49b828,2023-05-11,,Pro,6,294,3528,False,False,False,False,monthly,True,0,Company_391,FinTech,IN,2023-05-05,ads,8.0,354.6166666666667,6.0,8.0,3.0,3.5,13.666666666666666,0
S-59c5d7,A-c16b88,2024-10-19,,Basic,35,665,7980,False,True,False,False,monthly,True,0,Company_431,HealthTech,US,2023-12-02,event,7.0,290.01666666666665,2.0,7.0,3.0,3.0,48.333333333333336,0
S-d3faae,A-5c9849,2024-11-12,,Basic,19,361,4332,False,False,False,False,monthly,True,0,Company_362,EdTech,IN,2024-11-03,partner,0.0,0.0,0.0,0.0,4.0,,59.5,1
S-73a4e4,A-993085,2024-09-09,,Pro,31,1519,18228,False,False,False,False,monthly,True,0,Company_258,HealthTech,US,2023-06-01,ads,6.0,418.48333333333335,4.0,6.0,4.0,3.5,46.5,0
S-35c8a3,A-e4144b,2024-12-22,,Enterprise,41,8159,97908,False,False,False,False,annual,True,0,Company_316,EdTech,UK,2024-10-22,other,4.0,131.1,1.0,4.0,3.0,4.0,57.0,0
S-99fbf7,A-7dacce,2024-09-10,,Enterprise,12,2388,28656,False,False,False,False,annual,True,0,Company_8,Cybersecurity,CA,2024-09-10,event,7.0,314.35,2.0,7.0,4.0,3.6666666666666665,32.5,0
S-e97b9f,A-a0ca4e,2024-03-16,,Enterprise,12,2388,28656,False,False,False,False,annual,True,0,Company_6,Cybersecurity,US,2024-03-08,ads,4.0,196.46666666666667,4.0,4.0,6.0,3.8,39.166666666666664,0
S-763d33,A-ef84cf,2024-07-25,,Basic,23,437,5244,False,False,True,False,annual,False,0,Company_274,EdTech,US,2024-03-01,partner,6.0,503.4,3.0,6.0,5.0,4.333333333333333,34.8,0
S-323782,A-7920cc,2024-02-22,,Basic,39,741,8892,False,False,False,False,monthly,True,0,Company_412,Cybersecurity,FR,2023-11-23,ads,3.0,150.7,0.0,3.0,7.0,4.333333333333333,32.857142857142854,1
S-1cff18,A-2789e3,2024-10-03,,Basic,11,209,2508,False,False,False,False,monthly,True,0,Company_268,FinTech,US,2024-09-14,partner,5.0,213.45,9.0,5.0,4.0,4.0,47.25,0
S-ad39ef,A-e40f45,2024-08-25,,Pro,21,0,0,True,True,False,False,annual,True,0,Company_317,HealthTech,US,2024-04-18,organic,4.0,222.55,3.0,4.0,7.0,4.333333333333333,26.714285714285715,0
S-bf806d,A-7c5768,2024-09-21,,Basic,62,1178,14136,False,False,False,False,annual,True,0,Company_407,HealthTech,UK,2024-03-02,event,5.0,248.63333333333333,4.0,5.0,5.0,4.0,28.8,0
S-36f6ec,A-ccb686,2024-08-16,,Pro,21,1029,12348,False,True,False,False,monthly,True,0,Company_491,DevTools,US,2024-01-22,other,3.0,199.08333333333334,0.0,3.0,1.0,4.0,67.0,1
S-aff55c,A-bb2f49,2024-01-14,2024-12-29,Pro,8,0,0,True,False,False,True,monthly,True,1,Company_356,Cybersecurity,US,2023-05-28,other,6.0,313.71666666666664,2.0,6.0,3.0,4.0,22.333333333333332,0
S-b9fc6c,A-2ebb4b,2023-06-16,,Basic,41,779,9348,False,False,False,False,annual,True,0,Company_334,HealthTech,US,2023-05-15,ads,5.0,188.53333333333333,6.0,5.0,2.0,3.0,43.5,0
S-7f8cd8,A-53f4e3,2024-09-18,2024-11-17,Enterprise,20,3980,47760,False,False,False,True,monthly,True,1,Company_194,Cybersecurity,UK,2024-06-14,event,8.0,414.56666666666666,7.0,7.0,5.0,4.0,28.6,0
S-e912e6,A-a8d89d,2023-12-12,,Enterprise,78,15522,186264,False,False,False,False,monthly,True,0,Company_326,EdTech,US,2023-12-08,ads,5.0,213.25,1.0,5.0,2.0,5.0,44.5,0
S-fef85a,A-7f8241,2024-08-06,,Pro,34,1666,19992,False,False,False,False,annual,True,0,Company_42,EdTech,US,2023-03-14,organic,7.0,154.1,3.0,7.0,1.0,3.0,36.0,0
S-36d5c9,A-54ecc2,2023-09-16,,Enterprise,11,2189,26268,False,False,False,False,monthly,True,0,Company_289,Cybersecurity,US,2023-06-11,partner,8.0,407.65,5.0,8.0,5.0,5.0,37.4,0
S-b9ff15,A-95b24a,2024-01-08,,Enterprise,43,8557,102684,False,False,False,False,annual,False,0,Company_117,FinTech,US,2023-06-06,event,4.0,310.01666666666665,0.0,4.0,5.0,4.25,21.2,0
S-10bd09,A-bbc346,2024-09-03,,Basic,50,950,11400,False,False,False,False,annual,True,0,Company_138,FinTech,US,2024-08-29,partner,4.0,154.65,0.0,4.0,3.0,4.5,45.333333333333336,0
S-12bfc8,A-31ab9a,2024-12-06,,Enterprise,29,5771,69252,False,False,False,False,monthly,False,0,Company_460,FinTech,DE,2024-03-03,organic,5.0,511.23333333333335,0.0,5.0,7.0,3.5,43.142857142857146,0
S-f5c472,A-faa28c,2024-07-09,,Basic,48,912,10944,False,False,False,False,monthly,True,0,Company_91,HealthTech,US,2024-01-30,organic,3.0,47.733333333333334,0.0,3.0,4.0,4.666666666666667,52.25,1
S-dbc1ca,A-8adedc,2024-04-24,,Enterprise,14,2786,33432,False,False,False,False,annual,True,0,Company_300,EdTech,US,2024-02-11,event,4.0,154.88333333333333,5.0,4.0,4.0,4.0,49.25,0
S-dc6dfd,A-e08cd3,2024-09-30,,Pro,67,3283,39396,False,False,False,False,monthly,True,0,Company_475,FinTech,US,2024-09-21,ads,4.0,174.81666666666666,3.0,4.0,8.0,4.0,30.375,0
S-b2d472,A-bcf87c,2024-08-27,2024-12-11,Enterprise,10,1990,23880,False,False,False,True,annual,False,1,Company_288,FinTech,US,2024-06-27,event,6.0,348.55,2.0,6.0,2.0,4.0,63.0,0
S-9dfce0,A-e6afc1,2024-08-30,,Pro,2,98,1176,False,False,False,False,annual,True,0,Company_346,DevTools,US,2023-02-24,ads,7.0,160.4,0.0,7.0,0.0,,,0
S-9cb6a7,A-7f29a7,2024-12-21,,Basic,41,779,9348,False,False,False,False,monthly,True,0,Company_386,Cybersecurity,UK,2024-09-18,event,1.0,69.76666666666667,0.0,1.0,1.0,4.0,24.0,1
S-dabcd2,A-3ce5b8,2024-09-22,,Pro,28,0,0,True,False,False,False,monthly,True,0,Company_256,FinTech,IN,2023-09-07,ads,10.0,499.55,4.0,10.0,10.0,3.7142857142857144,42.5,0
S-8c3cc8,A-b2225d,2024-10-17,,Basic,47,0,0,True,False,False,False,monthly,True,0,Company_50,FinTech,US,2024-03-08,ads,4.0,152.16666666666666,3.0,4.0,2.0,3.0,42.0,0
S-2923fc,A-fa3095,2024-07-08,,Enterprise,70,13930,167160,False,False,False,False,annual,True,0,Company_174,FinTech,US,2023-09-03,ads,8.0,458.8,5.0,7.0,5.0,5.0,49.2,0
S-f0a2e5,A-55f257,2024-06-05,,Basic,23,0,0,True,False,False,False,annual,True,0,Company_496,FinTech,US,2023-12-21,organic,5.0,280.9166666666667,2.0,5.0,6.0,5.0,43.166666666666664,0
S-025bea,A-9affe6,2024-06-25,,Pro,17,833,9996,False,True,False,False,monthly,True,0,Company_401,Cybersecurity,US,2023-03-22,other,6.0,329.56666666666666,0.0,6.0,3.0,3.0,58.0,0
S-0e499f,A-296d7c,2024-08-17,,Pro,16,784,9408,False,False,False,False,annual,False,0,Company_182,DevTools,DE,2023-11-08,other,2.0,147.25,0.0,2.0,5.0,3.75,50.4,1
S-0267b7,A-65a46c,2024-10-17,2024-12-04,Enterprise,13,0,0,True,False,False,True,monthly,True,1,Company_95,HealthTech,US,2023-11-04,event,5.0,250.76666666666668,2.0,5.0,8.0,4.0,45.125,0
S-b5b9a5,A-812c5b,2024-07-25,,Basic,55,1045,12540,False,False,False,False,monthly,True,0,Company_395,DevTools,CA,2024-02-25,organic,6.0,227.63333333333333,3.0,6.0,4.0,4.0,27.0,0
S-8e45ba,A-7f8241,2023-12-13,,Basic,34,646,7752,False,False,False,False,annual,False,0,Company_42,EdTech,US,2023-03-14,organic,8.0,391.46666666666664,4.0,8.0,1.0,3.0,36.0,0
S-37ed34,A-d4ac0e,2024-07-07,,Enterprise,20,3980,47760,False,False,False,False,annual,True,0,Company_364,DevTools,UK,2024-04-20,ads,4.0,171.05,4.0,3.0,4.0,3.5,21.0,0
S-65dbf3,A-17939a,2024-12-28,,Basic,36,684,8208,False,False,False,False,monthly,True,0,Company_162,HealthTech,US,2024-12-26,organic,3.0,150.75,0.0,3.0,7.0,4.5,38.0,1
S-ce5450,A-0a282f,2024-12-25,2024-12-28,Pro,8,0,0,True,False,False,True,annual,True,1,Company_2,DevTools,US,2024-08-27,organic,8.0,405.31666666666666,5.0,8.0,3.0,4.666666666666667,43.666666666666664,0
S-6c969d,A-855a48,2024-05-08,,Basic,14,266,3192,False,False,False,False,monthly,False,0,Company_389,EdTech,US,2023-12-22,partner,6.0,238.16666666666666,1.0,6.0,5.0,3.6666666666666665,39.6,0
S-522aef,A-f3ff05,2024-08-22,,Pro,4,196,2352,False,False,False,False,annual,True,0,Company_44,FinTech,IN,2024-07-06,other,2.0,56.233333333333334,0.0,2.0,3.0,3.5,42.666666666666664,1
S-82db05,A-417d2f,2024-12-09,,Pro,26,1274,15288,False,False,False,False,monthly,True,0,Company_285,Cybersecurity,IN,2023-07-04,partner,4.0,187.65,3.0,4.0,6.0,4.333333333333333,43.5,0
S-162596,A-462d45,2024-02-29,,Pro,18,0,0,True,False,False,False,monthly,True,0,Company_13,Cybersecurity,US,2024-01-15,partner,3.0,72.35,1.0,3.0,4.0,4.0,26.75,1
S-f703bd,A-202b67,2024-09-04,,Pro,11,539,6468,False,False,False,False,monthly,True,0,Company_305,HealthTech,US,2024-03-22,organic,4.0,180.86666666666667,1.0,4.0,4.0,4.666666666666667,36.75,0
S-a1d6ad,A-eafc6e,2024-09-01,,Pro,27,1323,15876,False,False,False,False,monthly,True,0,Company_149,DevTools,US,2023-07-06,partner,6.0,275.6333333333333,3.0,6.0,1.0,,64.0,0
S-8b1fc1,A-309e54,2024-12-26,,Basic,15,0,0,True,False,False,False,monthly,True,0,Company_371,DevTools,US,2024-12-09,other,4.0,263.6,0.0,4.0,5.0,3.0,23.8,0
S-09cdac,A-82861f,2024-07-31,2024-09-04,Basic,41,779,9348,False,False,False,True,annual,True,1,Company_350,DevTools,UK,2024-04-25,organic,10.0,418.46666666666664,15.0,10.0,5.0,3.2,24.4,0
S-fa5301,A-ba6516,2024-03-14,,Pro,55,0,0,True,False,False,False,monthly,False,0,Company_154,FinTech,US,2023-10-29,ads,3.0,212.83333333333334,1.0,3.0,6.0,4.0,31.5,1
S-69937b,A-08e34e,2024-08-08,,Pro,14,686,8232,False,False,False,False,annual,False,0,Company_32,EdTech,US,2024-06-27,event,3.0,133.71666666666667,0.0,3.0,3.0,3.0,43.0,1
S-f2537d,A-e43bf7,2024-01-24,,Pro,44,2156,25872,False,False,False,False,monthly,True,0,Company_215,Cybersecurity,AU,2023-03-24,other,7.0,360.5833333333333,4.0,7.0,5.0,4.0,27.4,0
S-27f7b2,A-a1b80b,2024-04-03,,Basic,38,722,8664,False,False,False,False,annual,True,0,Company_184,HealthTech,US,2023-11-27,organic,6.0,236.28333333333333,3.0,6.0,4.0,4.0,41.0,0
S-9c2b8e,A-443f6f,2024-12-26,,Basic,19,361,4332,False,True,False,False,annual,True,0,Company_304,Cybersecurity,US,2024-12-07,organic,8.0,319.8666666666667,5.0,8.0,4.0,4.666666666666667,28.0,0
S-a4f26d,A-32728c,2023-05-21,,Pro,20,980,11760,False,False,False,False,monthly,True,0,Company_54,DevTools,US,2023-01-03,event,4.0,233.73333333333332,1.0,4.0,2.0,3.5,34.5,0
S-0cb6ed,A-ac85cd,2024-11-09,2024-12-18,Pro,53,2597,31164,False,False,False,True,annual,True,1,Company_485,EdTech,US,2024-07-31,partner,7.0,287.3,7.0,7.0,3.0,3.5,33.666666666666664,0
S-367dee,A-e19ff6,2024-06-29,,Pro,1,49,588,False,False,False,False,annual,True,0,Company_411,Cybersecurity,UK,2023-07-28,partner,2.0,250.98333333333332,0.0,2.0,3.0,4.666666666666667,30.666666666666668,1
S-3b9ad8,A-6e08f3,2024-12-24,,Enterprise,28,5572,66864,False,False,False,False,monthly,False,0,Company_220,Cybersecurity,US,2023-02-27,event,5.0,180.21666666666667,0.0,5.0,2.0,3.5,36.5,0
S-c9f8c1,A-544d0a,2024-07-23,,Enterprise,5,995,11940,False,False,True,False,monthly,True,0,Company_153,DevTools,US,2024-05-02,organic,3.0,114.33333333333333,1.0,3.0,2.0,4.0,38.5,1
S-57cd05,A-8b0451,2024-10-26,,Basic,41,779,9348,False,False,False,False,annual,True,0,Company_245,FinTech,UK,2024-09-16,event,6.0,89.58333333333333,3.0,6.0,7.0,3.5,26.571428571428573,0
S-e505c1,A-8ae3fc,2024-09-17,,Pro,34,1666,19992,False,False,False,False,annual,True,0,Company_495,DevTools,CA,2024-06-28,ads,7.0,369.6333333333333,7.0,7.0,4.0,3.5,39.5,0
S-121b4d,A-8ae3fc,2024-11-22,,Basic,9,171,2052,False,False,False,False,annual,True,0,Company_495,DevTools,CA,2024-06-28,ads,3.0,121.5,2.0,3.0,4.0,3.5,39.5,1
S-72b4f2,A-4437e4,2024-02-06,,Pro,49,2401,28812,False,False,False,False,annual,True,0,Company_192,Cybersecurity,US,2023-09-16,event,3.0,173.9,7.0,3.0,6.0,3.0,34.666666666666664,1
S-c9b0cc,A-4d1e75,2024-10-11,,Enterprise,38,7562,90744,False,False,False,False,monthly,True,0,Company_58,DevTools,US,2024-08-21,other,2.0,71.01666666666667,0.0,2.0,2.0,4.0,15.0,1
S-27c993,A-098560,2024-11-17,,Enterprise,4,796,9552,False,False,False,False,monthly,True,0,Company_349,DevTools,UK,2023-10-21,ads,2.0,192.0,4.0,2.0,2.0,3.0,28.0,1
S-8b9889,A-ac9111,2024-08-18,,Pro,21,1029,12348,False,False,False,False,monthly,True,0,Company_487,HealthTech,US,2023-08-12,event,7.0,428.51666666666665,5.0,7.0,3.0,5.0,24.666666666666668,0
S-2214c6,A-3c1a3f,2024-10-07,,Pro,82,4018,48216,False,False,False,False,monthly,True,0,Company_224,DevTools,UK,2023-08-26,event,2.0,126.35,0.0,2.0,4.0,3.5,33.25,1
S-ce695e,A-cb6cc6,2024-05-25,,Enterprise,13,0,0,True,False,False,False,annual,False,0,Company_419,DevTools,US,2023-04-03,ads,5.0,183.88333333333333,6.0,5.0,3.0,3.5,16.333333333333332,0
S-066d80,A-9b9fe9,2024-08-17,,Pro,5,245,2940,False,False,False,False,monthly,True,0,Company_71,EdTech,AU,2023-09-28,other,0.0,0.0,0.0,0.0,4.0,4.0,33.5,1
S-228457,A-029f69,2024-05-24,,Enterprise,24,4776,57312,False,False,False,False,annual,True,0,Company_129,Cybersecurity,CA,2024-03-07,event,5.0,299.6333333333333,1.0,5.0,2.0,3.0,42.0,0
S-e50612,A-c7e58b,2024-07-15,,Basic,13,247,2964,False,False,False,False,annual,False,0,Company_404,HealthTech,IN,2023-06-25,other,6.0,229.35,2.0,6.0,5.0,3.5,30.6,0
S-64fba3,A-00bed1,2024-07-16,,Enterprise,28,5572,66864,False,False,False,False,annual,True,0,Company_306,Cybersecurity,US,2023-11-14,ads,7.0,397.93333333333334,0.0,7.0,4.0,4.0,31.75,0
S-2372d2,A-cea1f0,2024-12-22,,Enterprise,21,4179,50148,False,False,False,False,annual,False,0,Company_273,FinTech,US,2024-04-07,event,3.0,67.38333333333334,3.0,2.0,5.0,4.333333333333333,42.2,1
S-2661dc,A-c37cab,2024-08-07,,Pro,20,0,0,True,False,False,False,monthly,True,0,Company_278,Cybersecurity,UK,2024-07-29,event,4.0,262.1666666666667,6.0,4.0,4.0,3.75,33.0,0
S-427275,A-4c38bc,2024-07-14,,Enterprise,36,7164,85968,False,False,False,False,annual,True,0,Company_55,HealthTech,UK,2024-03-09,event,8.0,611.5,4.0,8.0,3.0,3.5,48.333333333333336,0
S-628729,A-157070,2024-10-05,,Enterprise,23,4577,54924,False,False,True,False,monthly,True,0,Company_85,FinTech,US,2023-11-09,ads,8.0,175.31666666666666,5.0,8.0,3.0,3.0,42.333333333333336,0
S-e260ff,A-bcf87c,2024-12-09,,Enterprise,21,4179,50148,False,False,False,False,annual,True,0,Company_288,FinTech,US,2024-06-27,event,6.0,185.3,0.0,6.0,2.0,4.0,63.0,0
S-89c03a,A-8ae3fc,2024-09-20,,Pro,9,441,5292,False,False,False,False,monthly,True,0,Company_495,DevTools,CA,2024-06-28,ads,5.0,259.35,8.0,5.0,4.0,3.5,39.5,0
S-86455a,A-1b9609,2023-12-01,,Pro,12,588,7056,False,False,False,False,monthly,True,0,Company_5,EdTech,IN,2023-10-12,ads,6.0,202.06666666666666,2.0,6.0,4.0,3.0,43.0,0
S-3660bb,A-474ad4,2024-12-14,,Enterprise,10,0,0,True,False,False,False,monthly,False,0,Company_261,EdTech,US,2023-11-28,organic,3.0,204.06666666666666,1.0,3.0,3.0,5.0,33.0,1
S-6bf7d7,A-9bfc9f,2024-03-23,,Pro,53,2597,31164,False,False,True,False,annual,False,0,Company_228,DevTools,CA,2023-09-14,ads,3.0,289.15,2.0,3.0,6.0,3.3333333333333335,35.333333333333336,1
S-feccd8,A-812c5b,2024-12-22,,Enterprise,55,10945,131340,False,False,False,False,monthly,True,0,Company_395,DevTools,CA,2024-02-25,organic,2.0,107.61666666666666,1.0,2.0,4.0,4.0,27.0,1
S-0e4b0c,A-39b19f,2023-02-28,2023-06-15,Pro,24,1176,14112,False,False,True,True,annual,True,1,Company_176,FinTech,US,2023-02-03,partner,4.0,151.05,1.0,4.0,6.0,4.25,47.833333333333336,0
S-0e0578,A-de58ca,2023-07-09,,Basic,15,285,3420,False,False,False,False,monthly,True,0,Company_212,HealthTech,DE,2023-04-13,organic,3.0,346.3,4.0,3.0,5.0,3.3333333333333335,30.6,1
S-74538d,A-e60f9d,2024-11-13,,Pro,46,2254,27048,False,False,False,False,annual,True,0,Company_178,FinTech,US,2024-08-26,other,2.0,45.03333333333333,0.0,2.0,2.0,,70.5,1
S-c2a6cb,A-9affe6,2023-10-19,,Enterprise,7,1393,16716,False,True,False,False,annual,False,0,Company_401,Cybersecurity,US,2023-03-22,other,3.0,218.5,3.0,3.0,3.0,3.0,58.0,1
S-1bd2ec,A-e60f9d,2024-12-25,2024-12-28,Basic,38,722,8664,False,False,False,True,annual,True,1,Company_178,FinTech,US,2024-08-26,other,5.0,286.46666666666664,2.0,5.0,2.0,,70.5,0
S-3cc352,A-d27f50,2024-08-06,,Pro,44,2156,25872,False,False,False,False,monthly,True,0,Company_163,Cybersecurity,UK,2024-07-20,ads,1.0,47.6,0.0,1.0,4.0,3.75,37.5,1
