account_id,plan_tier,mrr_amount,total_usage_events,total_support_tickets,referral_source
A-a8d89d,Enterprise,5572,3.0,2.0,ads
A-86fc1d,Enterprise,5572,3.0,5.0,partner
A-ad64c6,Enterprise,5572,3.0,4.0,event
A-9f9299,Enterprise,5572,3.0,5.0,organic
A-eafc6e,Enterprise,5373,3.0,1.0,partner
A-f03140,Enterprise,5373,2.0,7.0,event
A-92a3af,Enterprise,5373,3.0,4.0,organic
A-ba6516,Enterprise,5373,0.0,6.0,ads
A-82d8a6,Enterprise,5373,2.0,5.0,ads
A-bece89,Enterprise,5174,3.0,4.0,event
A-bece89,Enterprise,5174,2.0,4.0,event
A-cd458b,Enterprise,5174,2.0,5.0,other
A-b7ef83,Enterprise,5174,3.0,2.0,partner
A-c1dfe1,Enterprise,5174,2.0,3.0,ads
A-bece89,Enterprise,5174,3.0,4.0,event
A-49b828,Enterprise,4975,3.0,3.0,ads
A-96e141,Enterprise,4975,2.0,5.0,partner
A-eb1312,Enterprise,4975,3.0,1.0,partner
A-533452,Pro,4949,3.0,4.0,organic
A-1d5444,Enterprise,4776,1.0,2.0,partner
A-f6b2fb,Enterprise,4776,2.0,5.0,event
A-410e86,Enterprise,4776,3.0,5.0,organic
A-474ad4,Enterprise,4776,1.0,3.0,organic
A-1d5444,Enterprise,4776,3.0,2.0,partner
A-6e08f3,Enterprise,4776,3.0,2.0,event
A-87aa7b,Enterprise,4776,1.0,3.0,organic
A-5ed98d,Enterprise,4776,2.0,5.0,partner
A-5ed98d,Enterprise,4776,3.0,5.0,partner
A-c70870,Pro,4606,2.0,5.0,partner
A-52dd88,Enterprise,4577,3.0,1.0,ads
A-f19409,Enterprise,4577,3.0,3.0,other
A-3b37d9,Enterprise,4577,3.0,5.0,event
A-e89151,Enterprise,4577,1.0,2.0,organic
A-560d27,Enterprise,4577,1.0,4.0,organic
A-ff79f2,Enterprise,4577,3.0,2.0,ads
A-55f257,Enterprise,4577,3.0,6.0,organic
A-8bde0c,Pro,4557,1.0,3.0,organic
A-40906c,Pro,4508,3.0,5.0,ads
A-854864,Pro,4459,2.0,5.0,event
A-6a4e2d,Enterprise,4378,3.0,2.0,partner
A-80eeb6,Enterprise,4378,2.0,4.0,organic
A-4e631b,Enterprise,4378,2.0,2.0,other
A-bc87bc,Enterprise,4378,3.0,7.0,event
A-d77f4c,Enterprise,4378,3.0,2.0,partner
A-a8b49c,Enterprise,4378,3.0,1.0,partner
A-02fac6,Enterprise,4378,2.0,6.0,event
A-4814a3,Pro,4263,3.0,4.0,event
A-5a215a,Pro,4263,3.0,4.0,other
A-8ae05d,Pro,4214,2.0,1.0,other
A-ac9111,Enterprise,4179,3.0,3.0,event
A-cea1f0,Enterprise,4179,3.0,5.0,event
A-ac9111,Enterprise,4179,3.0,3.0,event
A-6843f2,Enterprise,4179,2.0,2.0,ads
A-bb1eaa,Enterprise,4179,2.0,6.0,organic
A-84ebe4,Enterprise,4179,2.0,4.0,ads
A-bbe56f,Enterprise,4179,2.0,4.0,ads
A-0532a9,Enterprise,4179,3.0,8.0,event
A-ac9111,Enterprise,4179,3.0,3.0,event
A-34ea2f,Pro,4067,3.0,8.0,organic
A-3c1a3f,Pro,4018,2.0,4.0,event
A-19b2c8,Enterprise,3980,2.0,3.0,other
A-19b2c8,Enterprise,3980,2.0,3.0,other
A-49b828,Enterprise,3980,3.0,3.0,ads
A-186a44,Enterprise,3980,3.0,7.0,ads
A-6f8ad2,Enterprise,3980,2.0,4.0,organic
A-1986ca,Enterprise,3980,3.0,7.0,ads
A-854864,Enterprise,3980,3.0,5.0,event
A-1986ca,Enterprise,3980,1.0,7.0,ads
A-b20d99,Enterprise,3980,3.0,2.0,other
A-8e47ca,Enterprise,3980,3.0,5.0,organic
A-72799b,Enterprise,3980,2.0,2.0,event
A-00cac8,Enterprise,3980,2.0,2.0,organic
A-4d1e75,Enterprise,3980,2.0,2.0,other
A-8adedc,Pro,3871,3.0,4.0,event
A-0651a4,Enterprise,3781,2.0,4.0,organic
A-35083d,Enterprise,3781,2.0,4.0,partner
A-1e50e0,Enterprise,3781,1.0,2.0,other
A-dbc825,Enterprise,3781,3.0,6.0,partner
A-508199,Enterprise,3781,2.0,3.0,event
A-35083d,Enterprise,3781,3.0,4.0,partner
A-bbc346,Enterprise,3781,3.0,3.0,partner
A-0651a4,Enterprise,3781,3.0,4.0,organic
A-6f50ae,Enterprise,3781,3.0,5.0,partner
A-9badbd,Pro,3773,3.0,5.0,ads
A-d49cc5,Pro,3675,3.0,4.0,event
A-89ee83,Enterprise,3582,3.0,5.0,organic
A-5a3eb9,Enterprise,3582,2.0,3.0,other
A-c4ea60,Enterprise,3582,3.0,5.0,other
A-cbd1a3,Enterprise,3582,3.0,4.0,other
A-50bb9f,Enterprise,3582,1.0,7.0,organic
A-f92792,Enterprise,3582,2.0,2.0,ads
A-7f4db3,Enterprise,3582,3.0,5.0,other
A-712533,Enterprise,3582,2.0,5.0,organic
A-484819,Enterprise,3582,3.0,5.0,organic
A-328bd0,Enterprise,3582,3.0,5.0,partner
A-779e4e,Enterprise,3582,3.0,5.0,organic
A-9123ac,Enterprise,3582,3.0,6.0,organic
A-84ebe4,Enterprise,3582,3.0,4.0,ads
A-4bfa33,Pro,3528,3.0,4.0,event
A-4ef964,Pro,3430,1.0,3.0,organic
A-712533,Pro,3430,3.0,5.0,organic
A-fa3095,Pro,3430,3.0,5.0,ads
A-09316c,Pro,3430,1.0,4.0,organic
A-de24d5,Enterprise,3383,3.0,7.0,other
A-94f8c9,Enterprise,3383,3.0,3.0,other
A-e4bf56,Enterprise,3383,3.0,8.0,ads
A-2edab2,Enterprise,3383,1.0,4.0,event
A-a09355,Enterprise,3383,2.0,5.0,organic
A-5a3eb9,Pro,3381,3.0,3.0,other
A-7cfe77,Pro,3381,3.0,7.0,ads
A-7cfe77,Pro,3381,3.0,7.0,ads
A-2d1036,Pro,3381,3.0,5.0,ads
A-7cfe77,Pro,3381,2.0,7.0,ads
A-8adedc,Pro,3332,2.0,4.0,event
A-b7b7b7,Pro,3283,3.0,3.0,event
A-e08cd3,Pro,3283,1.0,8.0,ads
A-09540c,Pro,3283,2.0,2.0,event
A-e08cd3,Pro,3283,3.0,8.0,ads
A-bb1486,Pro,3283,2.0,3.0,organic
A-05f0e5,Pro,3185,2.0,4.0,partner
A-faa28c,Pro,3185,3.0,4.0,organic
A-fda07f,Enterprise,3184,2.0,5.0,partner
A-a1b80b,Enterprise,3184,2.0,4.0,organic
A-5247b3,Enterprise,3184,2.0,5.0,partner
A-0651a4,Enterprise,3184,2.0,4.0,organic
A-1b707d,Enterprise,3184,3.0,3.0,organic
A-a1b80b,Enterprise,3184,3.0,4.0,organic
A-fa2041,Enterprise,3184,2.0,1.0,organic
A-05d3b3,Enterprise,3184,3.0,6.0,ads
A-e2cd1b,Enterprise,3184,3.0,5.0,other
A-d62e02,Enterprise,3184,1.0,1.0,partner
A-b30291,Enterprise,3184,2.0,1.0,event
A-118d55,Enterprise,3184,2.0,5.0,organic
A-d62e02,Enterprise,3184,1.0,1.0,partner
A-a1b80b,Enterprise,3184,2.0,4.0,organic
A-180abf,Pro,3136,1.0,3.0,event
A-56962b,Basic,3097,3.0,4.0,partner
A-56962b,Basic,3097,3.0,4.0,partner
A-df1e44,Pro,3087,3.0,2.0,organic
A-158f4e,Pro,2989,2.0,5.0,other
A-20736a,Pro,2989,3.0,4.0,organic
A-158f4e,Pro,2989,3.0,5.0,other
A-158f4e,Pro,2989,2.0,5.0,other
A-158f4e,Pro,2989,3.0,5.0,other
A-7641d3,Pro,2989,1.0,5.0,partner
A-751c58,Enterprise,2985,3.0,5.0,organic
A-c62e55,Enterprise,2985,3.0,4.0,partner
A-b9f5b1,Enterprise,2985,1.0,6.0,other
A-ffc04f,Enterprise,2985,1.0,7.0,ads
A-e5d6ab,Enterprise,2985,3.0,3.0,partner
A-71615e,Enterprise,2985,3.0,1.0,organic
A-dcc2f0,Enterprise,2985,2.0,2.0,organic
A-7da956,Enterprise,2985,1.0,3.0,event
A-7dacce,Enterprise,2985,3.0,4.0,event
A-dfbd31,Pro,2940,2.0,6.0,partner
A-02fac6,Pro,2891,3.0,6.0,event
A-671f31,Pro,2891,2.0,7.0,ads
A-18793f,Basic,2812,3.0,5.0,organic
A-31ab9a,Enterprise,2786,3.0,7.0,organic
A-c16101,Enterprise,2786,3.0,4.0,other
A-3d957b,Enterprise,2786,3.0,3.0,other
A-e36807,Enterprise,2786,3.0,2.0,other
A-10b8da,Enterprise,2786,1.0,3.0,partner
A-a6d261,Enterprise,2786,3.0,4.0,other
A-0baac2,Enterprise,2786,3.0,6.0,organic
A-96e141,Enterprise,2786,3.0,5.0,partner
A-dfbd31,Enterprise,2786,3.0,6.0,partner
A-86fc1d,Pro,2744,3.0,5.0,partner
A-c62e55,Pro,2744,3.0,4.0,partner
A-0a282f,Pro,2695,2.0,3.0,organic
A-50bb9f,Pro,2646,0.0,7.0,organic
A-f97b9a,Pro,2646,2.0,7.0,event
A-10b8f2,Pro,2646,2.0,3.0,organic
A-1e1b80,Pro,2597,3.0,6.0,other
A-396e5f,Pro,2597,3.0,5.0,other
A-9bfc9f,Pro,2597,3.0,6.0,ads
A-9bfc9f,Pro,2597,3.0,6.0,ads
A-17939a,Enterprise,2587,3.0,7.0,organic
A-cc102e,Enterprise,2587,2.0,4.0,partner
A-05d3b3,Enterprise,2587,3.0,6.0,ads
A-53f4e3,Enterprise,2587,2.0,5.0,event
A-7da956,Enterprise,2587,3.0,3.0,event
A-9f0b68,Enterprise,2587,2.0,3.0,ads
A-6965e1,Enterprise,2587,1.0,3.0,organic
A-6965e1,Enterprise,2587,3.0,3.0,organic
A-94f8c9,Enterprise,2587,3.0,3.0,other
A-69b156,Enterprise,2587,3.0,7.0,other
A-3b5cd1,Enterprise,2587,2.0,5.0,event
A-bcf664,Enterprise,2587,3.0,5.0,other
A-e5d6ab,Enterprise,2587,3.0,3.0,partner
A-8b25f2,Enterprise,2587,1.0,2.0,ads
A-94f8c9,Enterprise,2587,3.0,3.0,other
A-798a3f,Enterprise,2587,3.0,5.0,other
A-ee42db,Enterprise,2587,3.0,4.0,ads
A-fa2041,Pro,2548,3.0,1.0,organic
A-533452,Pro,2499,3.0,4.0,organic
A-bd4513,Pro,2450,3.0,3.0,event
A-075038,Pro,2450,3.0,2.0,ads
A-a0ca4e,Pro,2401,0.0,6.0,ads
A-4437e4,Pro,2401,3.0,6.0,event
A-cbbe12,Pro,2401,2.0,6.0,partner
A-c42f1f,Enterprise,2388,3.0,9.0,other
A-df1e44,Enterprise,2388,3.0,2.0,organic
A-781cc0,Enterprise,2388,2.0,4.0,organic
A-798a3f,Enterprise,2388,3.0,5.0,other
A-c37601,Enterprise,2388,3.0,4.0,partner
A-df10db,Enterprise,2388,3.0,2.0,other
A-fabe19,Enterprise,2388,3.0,3.0,ads
A-bad8c1,Enterprise,2388,3.0,1.0,organic
A-ad64c6,Enterprise,2388,3.0,4.0,event
A-7c83a1,Pro,2352,2.0,4.0,partner
A-faa28c,Pro,2352,3.0,4.0,organic
A-313be3,Pro,2303,2.0,4.0,partner
A-659280,Pro,2303,3.0,4.0,event
A-e60f9d,Pro,2254,2.0,2.0,other
A-bcbe98,Pro,2254,2.0,7.0,other
A-8ed5dd,Pro,2254,2.0,6.0,event
A-7e0a10,Pro,2254,1.0,5.0,ads
A-241e75,Pro,2254,1.0,4.0,partner
A-50f3f7,Basic,2223,1.0,6.0,partner
A-751c58,Pro,2205,3.0,5.0,organic
A-6e7827,Enterprise,2189,2.0,2.0,other
A-ccabf0,Enterprise,2189,1.0,4.0,organic
A-d77f4c,Enterprise,2189,2.0,2.0,partner
A-9a532a,Enterprise,2189,2.0,2.0,partner
A-726cfa,Enterprise,2189,3.0,3.0,partner
A-331424,Enterprise,2189,2.0,2.0,organic
A-ad3abd,Pro,2156,3.0,3.0,event
A-f19409,Pro,2156,2.0,3.0,other
A-cdf020,Pro,2156,2.0,4.0,organic
A-d27f50,Pro,2156,1.0,4.0,ads
A-02cd81,Pro,2156,1.0,3.0,other
A-fdfc91,Basic,2109,3.0,5.0,ads
A-544d0a,Pro,2107,2.0,2.0,organic
A-dfbd31,Pro,2107,3.0,6.0,partner
A-ed510f,Pro,2058,3.0,9.0,partner
A-35083d,Pro,2058,3.0,4.0,partner
A-625d0b,Pro,2058,1.0,5.0,ads
A-ed510f,Pro,2058,3.0,9.0,partner
A-e4144b,Pro,2009,1.0,3.0,other
A-7f29a7,Pro,2009,3.0,1.0,event
A-94d3da,Pro,2009,2.0,6.0,other
A-acb7f7,Pro,2009,2.0,3.0,ads
A-82861f,Pro,2009,3.0,5.0,organic
A-9f0b68,Enterprise,1990,1.0,3.0,ads
A-e51ec7,Enterprise,1990,3.0,3.0,partner
A-8b25f2,Enterprise,1990,2.0,2.0,ads
A-d62e02,Enterprise,1990,3.0,1.0,partner
A-7df7a7,Enterprise,1990,2.0,3.0,organic
A-9289f6,Enterprise,1990,3.0,6.0,event
A-e1b9cd,Pro,1960,3.0,1.0,event
A-e19ff6,Pro,1960,2.0,3.0,partner
A-cbbe12,Pro,1960,3.0,6.0,partner
A-9779ad,Pro,1960,3.0,3.0,event
A-9badbd,Basic,1957,3.0,5.0,ads
A-7920cc,Pro,1911,1.0,7.0,ads
A-7920cc,Pro,1911,1.0,7.0,ads
A-96bbc6,Pro,1911,3.0,3.0,organic
A-bece89,Pro,1862,3.0,4.0,event
A-443b7c,Pro,1862,1.0,8.0,other
A-0aaf6e,Pro,1813,3.0,5.0,organic
A-ccc747,Pro,1813,2.0,4.0,event
A-65a46c,Pro,1813,3.0,8.0,event
A-396e5f,Pro,1813,2.0,5.0,other
A-9174e0,Pro,1813,3.0,2.0,partner
A-378b99,Enterprise,1791,3.0,6.0,ads
A-a1bbb6,Enterprise,1791,3.0,3.0,organic
A-c45b23,Enterprise,1791,3.0,3.0,partner
A-f44180,Enterprise,1791,1.0,2.0,event
A-684255,Enterprise,1791,3.0,4.0,ads
A-3a5ad8,Enterprise,1791,3.0,4.0,organic
A-354f12,Enterprise,1791,3.0,2.0,ads
A-65aeb5,Enterprise,1791,2.0,2.0,partner
A-fe79a5,Enterprise,1791,1.0,4.0,ads
A-fe79a5,Enterprise,1791,2.0,4.0,ads
A-425e76,Enterprise,1791,3.0,5.0,other
A-fe79a5,Enterprise,1791,1.0,4.0,ads
A-684255,Enterprise,1791,3.0,4.0,ads
A-68f37c,Basic,1786,2.0,5.0,ads
A-5c046d,Basic,1767,2.0,1.0,partner
A-600734,Pro,1764,3.0,7.0,organic
A-4c38bc,Pro,1764,2.0,3.0,event
A-856b1e,Pro,1764,3.0,5.0,partner
A-d792a6,Pro,1764,2.0,5.0,organic
A-712533,Pro,1764,3.0,5.0,organic
A-40906c,Basic,1748,3.0,5.0,ads
A-977ca0,Pro,1715,3.0,3.0,partner
A-f3ff05,Pro,1715,2.0,3.0,other
A-068fc6,Pro,1715,2.0,5.0,event
A-054577,Pro,1715,3.0,1.0,ads
A-5a92e7,Pro,1715,2.0,7.0,ads
A-e4bf56,Pro,1715,3.0,8.0,ads
A-6da850,Pro,1666,3.0,5.0,organic
A-7f8241,Pro,1666,2.0,1.0,organic
A-7f8241,Pro,1666,3.0,1.0,organic
A-fda07f,Pro,1666,3.0,5.0,partner
A-c62e55,Pro,1666,1.0,4.0,partner
A-5a215a,Basic,1653,3.0,4.0,other
A-8ae05d,Basic,1634,3.0,1.0,other
A-8ae05d,Basic,1634,3.0,1.0,other
A-30b4ca,Basic,1634,2.0,3.0,organic
A-b78bf8,Pro,1617,3.0,5.0,event
A-417d2f,Pro,1617,2.0,6.0,partner
A-19b2c8,Pro,1617,1.0,3.0,other
A-328bd0,Pro,1617,2.0,5.0,partner
A-751c58,Pro,1617,3.0,5.0,organic
A-425e76,Enterprise,1592,3.0,5.0,other
A-b7ef83,Enterprise,1592,2.0,2.0,partner
A-cea1f0,Enterprise,1592,3.0,5.0,event
A-d77f4c,Enterprise,1592,2.0,2.0,partner
A-118d55,Enterprise,1592,2.0,5.0,organic
A-adc1f3,Enterprise,1592,2.0,3.0,organic
A-902ef7,Basic,1577,1.0,2.0,other
A-acb7f7,Pro,1568,2.0,3.0,ads
A-432483,Pro,1519,3.0,1.0,ads
A-50f3f7,Pro,1519,2.0,6.0,partner
A-f5641b,Pro,1519,2.0,4.0,other
A-f5641b,Pro,1519,3.0,4.0,other
A-2bc93d,Pro,1519,3.0,2.0,event
A-50f3f7,Pro,1519,2.0,6.0,partner
A-3a7284,Pro,1519,3.0,3.0,organic
A-e83938,Pro,1519,2.0,4.0,other
A-eb2fdc,Pro,1519,2.0,5.0,organic
A-856b1e,Pro,1470,1.0,5.0,partner
A-37f969,Pro,1470,3.0,5.0,partner
A-9ee962,Pro,1470,3.0,3.0,ads
A-c62e55,Pro,1470,2.0,4.0,partner
A-50bb9f,Pro,1470,2.0,7.0,organic
A-37f969,Pro,1470,3.0,5.0,partner
A-558c72,Basic,1463,3.0,4.0,organic
A-3d957b,Pro,1421,0.0,3.0,other
A-9affe6,Pro,1421,2.0,3.0,other
A-d77f4c,Pro,1421,3.0,2.0,partner
A-a33200,Pro,1421,3.0,3.0,partner
A-94f8c9,Basic,1406,1.0,3.0,other
A-9affe6,Enterprise,1393,3.0,3.0,other
A-eb7fac,Enterprise,1393,3.0,4.0,organic
A-6f8ad2,Enterprise,1393,2.0,4.0,organic
A-2d4502,Enterprise,1393,2.0,3.0,event
A-249769,Enterprise,1393,2.0,2.0,event
A-51ec1b,Enterprise,1393,3.0,3.0,ads
A-9affe6,Enterprise,1393,2.0,3.0,other
A-9affe6,Enterprise,1393,3.0,3.0,other
A-bcf664,Enterprise,1393,2.0,5.0,other
A-69b156,Enterprise,1393,3.0,7.0,other
A-eb7fac,Enterprise,1393,0.0,4.0,organic
A-9badbd,Enterprise,1393,2.0,5.0,ads
A-69b156,Enterprise,1393,1.0,7.0,other
A-3d957b,Basic,1387,1.0,3.0,other
A-bece89,Pro,1372,3.0,4.0,event
A-40de06,Pro,1372,3.0,3.0,event
A-17939a,Pro,1372,2.0,7.0,organic
A-4ef964,Pro,1372,3.0,3.0,organic
A-40de06,Pro,1372,1.0,3.0,event
A-0f6450,Pro,1372,3.0,8.0,other
A-0f6450,Pro,1372,3.0,8.0,other
A-40de06,Pro,1372,3.0,3.0,event
A-342303,Pro,1372,1.0,3.0,other
A-9f9299,Pro,1372,1.0,5.0,organic
A-443b7c,Pro,1372,2.0,8.0,other
A-eb1312,Basic,1349,2.0,1.0,partner
A-751c58,Basic,1349,3.0,5.0,organic
A-fa3095,Basic,1330,3.0,5.0,ads
A-fa3095,Basic,1330,2.0,5.0,ads
A-09316c,Basic,1330,2.0,4.0,organic
A-956988,Basic,1330,3.0,2.0,ads
A-09316c,Basic,1330,3.0,4.0,organic
A-029f69,Pro,1323,2.0,2.0,event
A-883b7d,Pro,1323,2.0,7.0,other
A-b07b56,Pro,1323,3.0,4.0,event
A-ba6516,Pro,1323,3.0,6.0,ads
A-54d94a,Pro,1323,1.0,4.0,event
A-eafc6e,Pro,1323,3.0,1.0,partner
A-016043,Pro,1323,2.0,3.0,organic
A-2d1036,Basic,1311,3.0,5.0,ads
A-a865bd,Basic,1292,1.0,2.0,organic
A-b11cd0,Pro,1274,2.0,4.0,ads
A-a6d261,Pro,1274,2.0,4.0,other
A-67be94,Pro,1274,3.0,5.0,organic
A-6a7c9d,Pro,1274,2.0,3.0,organic
A-a8b49c,Pro,1274,2.0,1.0,partner
A-b7ef83,Pro,1274,3.0,2.0,partner
A-d82ef9,Pro,1274,1.0,5.0,other
A-e19ff6,Pro,1274,2.0,3.0,partner
A-5b4ebb,Pro,1274,3.0,5.0,other
A-439b2f,Pro,1274,2.0,3.0,ads
A-f92792,Pro,1274,2.0,2.0,ads
A-e08cd3,Basic,1273,3.0,8.0,ads
A-9289f6,Pro,1225,3.0,6.0,event
A-49b828,Pro,1225,3.0,3.0,ads
A-b07b56,Pro,1225,3.0,4.0,event
A-856b1e,Pro,1225,1.0,5.0,partner
A-22d9d2,Pro,1225,2.0,6.0,event
